Thread ID: 2148303280
Total: 0.021052

 %self     total     self     wait    child    calls  name
  0.31      0.00     0.00     0.00     0.00       18  String#split
  0.31      0.00     0.00     0.00     0.00       43  Hash#default
  0.30      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#add
  0.29      0.00     0.00     0.00     0.00        4  Mutex#synchronize(d1)
  0.29      0.00     0.00     0.00     0.00       10  Rack::Utils::HeaderHash#delete
  0.28      0.00     0.00     0.00     0.00        7  ActiveSupport::CoreExtensions::String::OutputSafety#concat
  0.28      0.00     0.00     0.00     0.00       38  Kernel#hash
  0.27      0.00     0.00     0.00     0.00        7  ActiveSupport::CoreExtensions::String::OutputSafety#+
  0.26      0.00     0.00     0.00     0.00        5  HashWithIndifferentAccess#initialize
  0.25      0.00     0.00     0.00     0.00        2  ActionView::Base#render
  0.25      0.00     0.00     0.00     0.00       29  Hash#delete
  0.24      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_key
  0.24      0.00     0.00     0.00     0.00       42  Array#[]
  0.23      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.22      0.00     0.00     0.00     0.00       24  Kernel#class
  0.21      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.21      0.01     0.00     0.00     0.01       10  Kernel#send
  0.21      0.00     0.00     0.00     0.00       22  <Class::Thread>#current
  0.20      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render
  0.20      0.00     0.00     0.00     0.00       19  Symbol#to_s
  0.20      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.20      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#default
  0.20      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        2  ActionView::Base#with_template
  0.19      0.00     0.00     0.00     0.00        1  ActionController::Rescue#rescue_action_locally
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00       16  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe?
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        3  ActionController::Response#charset
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.19      0.00     0.00     0.00     0.00       32  Array#size
  0.18      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.18      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.18      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.18      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.18      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.18      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.18      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.17      0.02     0.00     0.00     0.02        1  ActionController::Session::CookieStore#call
  0.17      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.17      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.17      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks::CallbackChain#run
  0.17      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.17      0.02     0.00     0.00     0.02        1  Rack::Lint#_call
  0.17      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.17      0.01     0.00     0.00     0.01        1  <Module::ActiveSupport::Deprecation>#silence
  0.17      0.00     0.00     0.00     0.00        7  HashWithIndifferentAccess#update
  0.16      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.16      0.00     0.00     0.00     0.00       14  ActionController::Base#response
  0.16      0.00     0.00     0.00     0.00       13  String#[]
  0.16      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.16      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.16      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.15      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.15      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action_without_handler
  0.15      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.14      0.00     0.00     0.00     0.00       16  Module#===
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.14      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.14      0.00     0.00     0.00     0.00       26  Fixnum#+
  0.14      0.01     0.00     0.00     0.01        1  ActionController::Base#process_without_filters
  0.14      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47opt47local47lib47ruby47gems47146847gems47actionpack45246346547lib47action_controller47templates47rescues47routing_error46erb
  0.13      0.00     0.00     0.00     0.00       19  String#==
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_file
  0.13      0.00     0.00     0.00     0.00       25  Fixnum#<
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.13      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.13      0.00     0.00     0.00     0.00       21  Kernel#instance_of?
  0.13      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.13      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.12      0.00     0.00     0.00     0.00        2  ActionController::Response#content_type=
  0.12      0.00     0.00     0.00     0.00        4  Kernel#dup
  0.12      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#clear_buffer
  0.12      0.00     0.00     0.00     0.00       12  Module#to_s
  0.12      0.00     0.00     0.00     0.00        6  String#blank?
  0.12      0.00     0.00     0.00     0.00       16  Kernel#is_a?
  0.11      0.00     0.00     0.00     0.00       14  Array#empty?
  0.11      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.11      0.00     0.00     0.00     0.00        7  Kernel#send(d1)
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.11      0.00     0.00     0.00     0.00       13  String#to_s
  0.11      0.00     0.00     0.00     0.00       18  Hash#include?
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize_path
  0.11      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.11      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.10      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::String::OutputSafety#<<
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.10      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.10      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
  0.10      0.00     0.00     0.00     0.00        5  Array#include?
  0.10      0.00     0.00     0.00     0.00       14  <Class::Object>#allocate
  0.10      0.00     0.00     0.00     0.00       15  Kernel#kind_of?
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Base#template_format
  0.10      0.00     0.00     0.00     0.00        1  Array#select
  0.10      0.02     0.00     0.00     0.02        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.10      0.00     0.00     0.00     0.00        1  MonitorMixin#synchronize
  0.10      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.10      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#handler_for_rescue
  0.10      0.00     0.00     0.00     0.00        1  MonitorMixin#mon_exit
  0.10      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.10      0.00     0.00     0.00     0.00        1  String#gsub
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.10      0.00     0.00     0.00     0.00        1  Mime::Type#=~
  0.10      0.00     0.00     0.00     0.00        4  Class#new(d1)
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.10      0.00     0.00     0.00     0.00        2  Array#map!
  0.09      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.09      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.09      0.00     0.00     0.00     0.00        7  ActionController::Base#logger
  0.09      0.01     0.00     0.00     0.01        1  ActionController::Rescue::ClassMethods#call_with_exception
  0.09      0.00     0.00     0.00     0.00        9  String#concat_without_safety
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.09      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#parameters
  0.09      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.09      0.00     0.00     0.00     0.00        7  Kernel#String
  0.09      0.00     0.00     0.00     0.00        2  Array#-
  0.09      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_set
  0.09      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47opt47local47lib47ruby47gems47146847gems47actionpack45246346547lib47action_controller47templates47rescues47layout46erb
  0.09      0.02     0.00     0.00     0.02        4  Kernel#__send__(d1)
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#mime_type
  0.09      0.00     0.00     0.00     0.00        6  NilClass#to_s
  0.09      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#flush
  0.08      0.00     0.00     0.00     0.00        1  Rack::Response#to_a
  0.08      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.08      0.00     0.00     0.00     0.00        1  MonitorMixin::ConditionVariable#signal
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.08      0.00     0.00     0.00     0.00        6  Enumerable#find
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.08      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.08      0.00     0.00     0.00     0.00        4  Kernel#__send__(d2)
  0.08      0.00     0.00     0.00     0.00       10  Fixnum#==
  0.08      0.00     0.00     0.00     0.00        8  Kernel#instance_variable_get
  0.08      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain(d1)
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
