Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  0.22      0.00     0.00     0.00     0.00       16  Enumerable#any?
  0.22      0.00     0.00     0.00     0.00       26  Array#empty?
  0.22      0.00     0.00     0.00     0.00        6  ActionView::PathSet#find_template
  0.21      0.01     0.00     0.00     0.01        2  ActionView::Renderable#render
  0.20      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.20      0.00     0.00     0.00     0.00       40  Fixnum#^
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#build_cookie
  0.20      0.00     0.00     0.00     0.00       28  <Class::Object>#allocate
  0.20      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.20      0.00     0.00     0.00     0.00       25  Kernel#==
  0.20      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.20      0.02     0.00     0.00     0.02        1  Rack::Lint#_call
  0.19      0.00     0.00     0.00     0.00        9  Kernel#__send__(d2)
  0.19      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#update
  0.19      0.00     0.00     0.00     0.00       12  Enumerable#inject
  0.19      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.19      0.01     0.00     0.00     0.01        1  <Module::Benchmark>#realtime
  0.19      0.00     0.00     0.00     0.00        4  ActionController::RecordIdentifier#model_name_from_record_or_class
  0.19      0.00     0.00     0.00     0.00        1  ActiveRecord::AttributeMethods#method_missing
  0.19      0.01     0.00     0.00     0.01        1  ActionController::Benchmarking#render
  0.19      0.00     0.00     0.00     0.00        3  Array#map!
  0.18      0.00     0.00     0.00     0.00        2  ActionView::Helpers::InstanceTag#add_default_name_and_id
  0.18      0.00     0.00     0.00     0.00       40  Fixnum#|
  0.18      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_release
  0.18      0.01     0.00     0.00     0.01        1  <Module::Benchmark>#realtime(d1)
  0.18      0.00     0.00     0.00     0.00        2  #<Module:0x1024db1d0>#things_path
  0.18      0.00     0.00     0.00     0.00       30  Array#size
  0.18      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.17      0.00     0.00     0.00     0.00       22  String#add_without_safety
  0.17      0.00     0.00     0.00     0.00       19  Hash#initialize_copy
  0.17      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.17      0.00     0.00     0.00     0.00       26  Kernel#kind_of?
  0.17      0.00     0.00     0.00     0.00        1  ActionView::Helpers::FormHelper#apply_form_for_options!
  0.17      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.17      0.00     0.00     0.00     0.00        1  ActionView::Helpers::InstanceTag#to_input_field_tag
  0.17      0.00     0.00     0.00     0.00        6  Class#read_inheritable_attribute
  0.16      0.00     0.00     0.00     0.00        1  ActionView::Helpers::InstanceTag#to_label_tag
  0.16      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.16      0.00     0.00     0.00     0.00        4  String#%
  0.16      0.00     0.00     0.00     0.00       29  Fixnum#+
