measurement,created_at,app,rails,ruby,platform
0,2010-02-23T01:09:04Z,exp1.004f33c,2.3.5,ruby-1.8.7.174,i686-darwin10
0,2010-02-23T01:09:38Z,exp1.004f33c,2.3.5,ruby-1.8.7.174,i686-darwin10
0,2010-02-23T01:10:16Z,exp1.004f33c,2.3.5,ruby-1.8.7.174,i686-darwin10
